Date,lag_0,lag_1,lag_2,lag_3,rolling_mean_4w,vaksin_persen,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12
2020-03-29 00:00:00+00:00,-0.6525152029735068,-0.656961386282813,-0.6602650723149627,-0.6612100260971732,-0.7109412568100738,-0.7828868433145798,0,0,1,0,0,0,0,0,0,0,0,0
2020-04-05 00:00:00+00:00,-0.6498060931585007,-0.6522927024982466,-0.6566953349040753,-0.6598996752122468,-0.7076290183558379,-0.7828868433145798,0,0,0,1,0,0,0,0,0,0,0,0
2020-04-12 00:00:00+00:00,-0.6375714036713762,-0.6495838672542601,-0.6520272167513763,-0.6563305289923521,-0.7013654472667176,-0.7828868433145798,0,0,0,1,0,0,0,0,0,0,0,0
2020-04-19 00:00:00+00:00,-0.633002121679246,-0.6373504177652893,-0.6493187096948638,-0.6516631839355667,-0.6948320400509793,-0.7828868433145798,0,0,0,1,0,0,0,0,0,0,0,0
2020-04-26 00:00:00+00:00,-0.6333391998589933,-0.6327815988745105,-0.637086742342872,-0.6489551254400522,-0.6896511864199137,-0.7828868433145798,0,0,0,1,0,0,0,0,0,0,0,0
2020-05-03 00:00:00+00:00,-0.6333017467279103,-0.6331186428910432,-0.6325184769848832,-0.6367251838474061,-0.6851921444275513,-0.7828868433145798,0,0,0,0,1,0,0,0,0,0,0,0
2020-05-10 00:00:00+00:00,-0.6266850269032409,-0.633081193555873,-0.6328554801670299,-0.6321576750485198,-0.6822509306474152,-0.7828868433145798,0,0,0,0,1,0,0,0,0,0,0,0
2020-05-17 00:00:00+00:00,-0.6186700568514715,-0.6264651443424499,-0.6328180353690136,-0.6324946224189295,-0.6783787822304468,-0.7828868433145798,0,0,0,0,1,0,0,0,0,0,0,0
2020-05-24 00:00:00+00:00,-0.602752476141182,-0.6184509866160017,-0.626202787719467,-0.6324571838222173,-0.6701150508527706,-0.7828868433145798,0,0,0,0,1,0,0,0,0,0,0,0
2020-05-31 00:00:00+00:00,-0.6096813053915433,-0.6025350191686163,-0.6181896009439785,-0.6258430317363984,-0.663733426458255,-0.7828868433145798,0,0,0,0,1,0,0,0,0,0,0,0
