Date,kasus_baru_mingguan,vaksin_persen
2020-03-08 00:00:00+00:00,6.0,0.0
2020-03-15 00:00:00+00:00,111.0,0.0
2020-03-22 00:00:00+00:00,397.0,0.0
2020-03-29 00:00:00+00:00,771.0,0.0
2020-04-05 00:00:00+00:00,988.0,0.0
2020-04-12 00:00:00+00:00,1968.0,0.0
2020-04-19 00:00:00+00:00,2334.0,0.0
2020-04-26 00:00:00+00:00,2307.0,0.0
2020-05-03 00:00:00+00:00,2310.0,0.0
2020-05-10 00:00:00+00:00,2840.0,0.0
2020-05-17 00:00:00+00:00,3482.0,0.0
2020-05-24 00:00:00+00:00,4757.0,0.0
2020-05-31 00:00:00+00:00,4202.0,0.0
2020-06-07 00:00:00+00:00,4713.0,0.0
2020-06-14 00:00:00+00:00,7091.0,0.0
2020-06-21 00:00:00+00:00,7614.0,0.0
2020-06-28 00:00:00+00:00,8119.0,0.0
2020-07-05 00:00:00+00:00,9739.0,0.0
2020-07-12 00:00:00+00:00,11950.0,0.0
2020-07-19 00:00:00+00:00,10822.0,0.0
2020-07-26 00:00:00+00:00,12257.0,0.0
2020-08-02 00:00:00+00:00,12677.0,0.0
2020-08-09 00:00:00+00:00,13941.0,0.0
2020-08-16 00:00:00+00:00,14153.0,0.0
2020-08-23 00:00:00+00:00,13986.0,0.0
2020-08-30 00:00:00+00:00,18518.0,0.0
2020-09-06 00:00:00+00:00,22056.0,0.0
2020-09-13 00:00:00+00:00,24273.0,0.0
2020-09-20 00:00:00+00:00,26294.0,0.0
2020-09-27 00:00:00+00:00,30537.0,0.0
2020-10-04 00:00:00+00:00,28285.0,0.0
2020-10-11 00:00:00+00:00,29951.0,0.0
2020-10-18 00:00:00+00:00,28418.0,0.0
2020-10-25 00:00:00+00:00,27845.0,0.0
2020-11-01 00:00:00+00:00,23072.0,0.0
2020-11-08 00:00:00+00:00,24932.0,0.0
2020-11-15 00:00:00+00:00,29397.0,0.0
2020-11-22 00:00:00+00:00,30555.0,0.0
2020-11-29 00:00:00+00:00,36598.0,0.0
2020-12-06 00:00:00+00:00,41530.0,0.0
2020-12-13 00:00:00+00:00,42024.0,0.0
2020-12-20 00:00:00+00:00,47110.0,0.0
2020-12-27 00:00:00+00:00,48435.0,0.0
2021-01-03 00:00:00+00:00,51985.0,0.0
2021-01-10 00:00:00+00:00,62676.0,0.0
2021-01-17 00:00:00+00:00,79903.0,0.0
2021-01-24 00:00:00+00:00,81333.0,0.0
2021-01-31 00:00:00+00:00,89052.0,0.0
2021-02-07 00:00:00+00:00,79523.0,0.0
2021-02-14 00:00:00+00:00,59631.0,0.0
2021-02-21 00:00:00+00:00,61394.0,0.0
2021-02-28 00:00:00+00:00,48150.666666666664,0.0
2021-03-07 00:00:00+00:00,45028.0,0.0
