Date,lag_1,lag_2,lag_3,rolling_mean_4w,vaksin_persen,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,target_minggu_depan
2020-03-29 00:00:00+00:00,397.0,111.0,6.0,321.25,0.0,0,0,1,0,0,0,0,0,0,0,0,0,988.0
2020-04-05 00:00:00+00:00,771.0,397.0,111.0,566.75,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1968.0
2020-04-12 00:00:00+00:00,988.0,771.0,397.0,1031.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,2334.0
2020-04-19 00:00:00+00:00,1968.0,988.0,771.0,1515.25,0.0,0,0,0,1,0,0,0,0,0,0,0,0,2307.0
2020-04-26 00:00:00+00:00,2334.0,1968.0,988.0,1899.25,0.0,0,0,0,1,0,0,0,0,0,0,0,0,2310.0
2020-05-03 00:00:00+00:00,2307.0,2334.0,1968.0,2229.75,0.0,0,0,0,0,1,0,0,0,0,0,0,0,2840.0
2020-05-10 00:00:00+00:00,2310.0,2307.0,2334.0,2447.75,0.0,0,0,0,0,1,0,0,0,0,0,0,0,3482.0
2020-05-17 00:00:00+00:00,2840.0,2310.0,2307.0,2734.75,0.0,0,0,0,0,1,0,0,0,0,0,0,0,4757.0
2020-05-24 00:00:00+00:00,3482.0,2840.0,2310.0,3347.25,0.0,0,0,0,0,1,0,0,0,0,0,0,0,4202.0
2020-05-31 00:00:00+00:00,4757.0,3482.0,2840.0,3820.25,0.0,0,0,0,0,1,0,0,0,0,0,0,0,4713.0
2020-06-07 00:00:00+00:00,4202.0,4757.0,3482.0,4288.5,0.0,0,0,0,0,0,1,0,0,0,0,0,0,7091.0
2020-06-14 00:00:00+00:00,4713.0,4202.0,4757.0,5190.75,0.0,0,0,0,0,0,1,0,0,0,0,0,0,7614.0
2020-06-21 00:00:00+00:00,7091.0,4713.0,4202.0,5905.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,8119.0
2020-06-28 00:00:00+00:00,7614.0,7091.0,4713.0,6884.25,0.0,0,0,0,0,0,1,0,0,0,0,0,0,9739.0
2020-07-05 00:00:00+00:00,8119.0,7614.0,7091.0,8140.75,0.0,0,0,0,0,0,0,1,0,0,0,0,0,11950.0
2020-07-12 00:00:00+00:00,9739.0,8119.0,7614.0,9355.5,0.0,0,0,0,0,0,0,1,0,0,0,0,0,10822.0
2020-07-19 00:00:00+00:00,11950.0,9739.0,8119.0,10157.5,0.0,0,0,0,0,0,0,1,0,0,0,0,0,12257.0
2020-07-26 00:00:00+00:00,10822.0,11950.0,9739.0,11192.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,12677.0
2020-08-02 00:00:00+00:00,12257.0,10822.0,11950.0,11926.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,13941.0
2020-08-09 00:00:00+00:00,12677.0,12257.0,10822.0,12424.25,0.0,0,0,0,0,0,0,0,1,0,0,0,0,14153.0
2020-08-16 00:00:00+00:00,13941.0,12677.0,12257.0,13257.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,13986.0
2020-08-23 00:00:00+00:00,14153.0,13941.0,12677.0,13689.25,0.0,0,0,0,0,0,0,0,1,0,0,0,0,18518.0
2020-08-30 00:00:00+00:00,13986.0,14153.0,13941.0,15149.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,22056.0
2020-09-06 00:00:00+00:00,18518.0,13986.0,14153.0,17178.25,0.0,0,0,0,0,0,0,0,0,1,0,0,0,24273.0
2020-09-13 00:00:00+00:00,22056.0,18518.0,13986.0,19708.25,0.0,0,0,0,0,0,0,0,0,1,0,0,0,26294.0
2020-09-20 00:00:00+00:00,24273.0,22056.0,18518.0,22785.25,0.0,0,0,0,0,0,0,0,0,1,0,0,0,30537.0
2020-09-27 00:00:00+00:00,26294.0,24273.0,22056.0,25790.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,28285.0
2020-10-04 00:00:00+00:00,30537.0,26294.0,24273.0,27347.25,0.0,0,0,0,0,0,0,0,0,0,1,0,0,29951.0
2020-10-11 00:00:00+00:00,28285.0,30537.0,26294.0,28766.75,0.0,0,0,0,0,0,0,0,0,0,1,0,0,28418.0
2020-10-18 00:00:00+00:00,29951.0,28285.0,30537.0,29297.75,0.0,0,0,0,0,0,0,0,0,0,1,0,0,27845.0
